text,airline_sentiment,airline
@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required,negative,United
@VirginAmerica wish you flew out of Atlanta... Soon?,neutral,Virgin America
@united I DM'd child's birthdate and full name.,neutral,United
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",negative,Virgin America
@united only thing confusing me is why I lost priority boarding? I'm a mileage plus card member 😔,negative,United
@united But thanks for asking,positive,United
"@united Arriving 25 minutes early is nice, but not if equipment isn't ready. Waiting 30 minutes for luggage, so far. Time gains wiped out.",negative,United
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",neutral,Virgin America
@united She is travelling from Melbourne (Australia ) to Bogota (Colombia) tomorrow,neutral,United
@VirginAmerica Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks,neutral,Virgin America
@VirginAmerica thank you,positive,Virgin America
@united like continental's chicken feat fairs,neutral,United
@united and learn how to book flights. http://t.co/MHHS9RUpLv,neutral,United
@united Cool. Thank you.,positive,United
"@united No, I need you guys to not over book planes. It's not a concern, I'll just travel with someone else moving forward.",negative,United
"@united  18 flights so far this year. 13 delays including 2 Cancelled Flightations.  Late Flightst reason, crew needed mandatory sleep. IN MEXICO!",negative,United
@united has the WORST customer svcs! This Kevin rep at call center must be investigated. My baggage's lost and there's no help but argument!,negative,United
“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!,positive,United
@united I sent the message. Let me know ASAP.,neutral,United
@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,neutral,Virgin America
@united we've been here since 3am and you've Cancelled Flightled our flight twice,negative,United
"@VirginAmerica to battle @SouthwestAir on @DallasLoveField-@AUStinAirport route 
http://t.co/6RLz0EBk2X via @usatoday",neutral,Virgin America
@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3,negative,Virgin America
"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 http://t.co/UJfS9Zi6kd",neutral,Virgin America
@VirginAmerica Good point!,neutral,Virgin America
"@united flight Cancelled Flightled,  and the updated one gets me into BWI too Late Flight! I'd be fine with DCA or IAD,  just arriving earlier!  Help!",negative,United
@United many people on Ua6318 are going to miss connections due to long wait time in SFO tarmac. Seriously u can't find an empty gate?,negative,United
@united why no preferred security line anymore. My TSA pre-check didn't pull on my @SilverAirways partner flight! #Platinum #spoiled,negative,United
@VirginAmerica is that #thestarter??😁,neutral,Virgin America
@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa,neutral,Virgin America
"@united It's still a valid flight. Just seems strange to delay for Late Flight inbound crew,  7 hours from now, when the plane is already here.",negative,United
@united you too!,positive,United
@united I sure did.   I had to drive a total of 3 hours to get my own bag.  I'd like to explain that debacle but no one wants to talk to me.,negative,United
@united So you are inadequate by accident?,negative,United
@VirginAmerica @TTINAC11 I DM you,neutral,Virgin America
@united thank you for the quick response but I cannot dm you until you follow me as well,neutral,United
"@united has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round",positive,United
@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6,negative,United
@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,positive,Virgin America
@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,negative,Virgin America
@united WHERE IS MY RECEIPT! I upgraded return leg and 6 months Late Flightr still NO receipt! http://t.co/DAjWzhLVyu,negative,United
@united what gate is ua5396 leaving from?,neutral,United
@VirginAmerica Very nicely done. 👏,positive,Virgin America
I ❤️ flying @VirginAmerica. ☺️👍,positive,Virgin America
@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,neutral,Virgin America
"@united yep that's correct, I got an email at 12:30 am that the flight was Cancelled Flightled, doesn't matter now flight into atl is delayed, thx",negative,United
"@united question:are there onboad 110 volt outlets in all planes? If so, where?",neutral,United
@united Dmed you. Thank you,negative,United
@VirginAmerica momma I made it! 😁😁😁,neutral,Virgin America
@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.,positive,Virgin America
"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well",negative,Virgin America
@VirginAmerica Thanks!,positive,Virgin America
@united ok. I just submitted. Thanks for the opportunity to give feedback.,positive,United
Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”,neutral,Virgin America
@united @retailbagholder hahaha. At least they gave u a refund.,neutral,United
@united I wanna be ride United airline! I love airplane,positive,United
@united thanks for the info I already knew...,neutral,United
@united Thank you!,positive,United
"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.",negative,United
@united In Ethiopia adopting a child.  Need flight home from ADD to GRR Late Flight 2/27 or very early 2/28. (need to change existing reservation),neutral,United
@VirginAmerica please add more frequency to PDX Portland,neutral,Virgin America
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",neutral,Virgin America
@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,neutral,Virgin America
@united flew from sdf to ATL to Tampa on Delta. Left early. Arrived early. Crew helpful. Wifi worked!!,positive,United
@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling,negative,United
@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I,neutral,Virgin America
@united how about 3659 YUL-ORD?,neutral,United
@VirginAmerica @SSal thanks!,positive,Virgin America
@united you'll be hearing from me for sure.,neutral,United
@united 4 people MCI to DEL. Preferably with Jet Airways EWR-BRU-DEL segment. Anytime in December,neutral,United
@VirginAmerica can you please get me to the new york area before monday afternoon,neutral,Virgin America
@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?,neutral,Virgin America
@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,positive,Virgin America
@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,positive,Virgin America
@united is there an email address I can reach? Too long for a DM.,neutral,United
@united Any news about the departure of the flight UA51?,neutral,United
@united yes please. Going to drive the 6 hours.,neutral,United
@united as a freq flyer it makes me sad to see cust needing assistance treated so poorly. #ServiceFail,negative,United
@VirginAmerica @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c,neutral,Virgin America
"@united did you have seen my message today?? About a mcdonnell Douglas dc 10 model?? I will hear it if you read it, Goodnight now",neutral,United
@united DM does not work what do I do?,neutral,United
"@united I guess that's too much ask, huh?",neutral,United
"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)",positive,United
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive,Virgin America
"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price.",neutral,United
@VirginAmerica Already checked in so the page expired :X,negative,Virgin America
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,negative,Virgin America
@united I am signed up for notifications. This is the first trip I was not updated on. Not sure why this happened.,negative,United
@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,positive,Virgin America
"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?",neutral,United
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,positive,Virgin America
"@United States faundation was by faith Judeo Cristian,@Not it was by ideologias.@ http://t.co/mWBk68k0A3",neutral,United
@united thanks -- we filled it out. How's our luck with this? Is it common?,positive,United
@VirginAmerica thank you! I absolutely will 😎,positive,Virgin America
@VirginAmerica Thank you for the follow,positive,Virgin America
@united thanks for having changed me. Managed to arrive with only 8 hours of delay and exhausted,negative,United
@VirginAmerica way to take advantage of #MayweatherPacquiao :),neutral,Virgin America
@united I did DM the details but still no response. I have to book today.,negative,United
@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),positive,Virgin America
@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,neutral,Virgin America
@united diverted and missed our connecting flight. Was just told that my bag is on it's way to MSY. If you only had people that cared,negative,United
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,negative,Virgin America
@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice,negative,United
@united how is Mexico not international from the us?,neutral,United
@united These are great fares!!!!!,positive,United
"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!",positive,Virgin America
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,neutral,Virgin America
@united yea get me to phoenix already. Delays all day with you people. It's bullshit.,negative,United
@united Thanks for remembering to load my bag onto my connecting flight. Oh wait you forgot. Iceland should be fun with no clothes....,negative,United
@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,positive,United
@united that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs,positive,United
@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,negative,Virgin America
@united still no response??,negative,United
@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,positive,Virgin America
@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?,neutral,United
@united the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair,negative,United
@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0,positive,United
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,neutral,Virgin America
@VirginAmerica Have a great week 🌞✈,positive,Virgin America
@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,negative,Virgin America
@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!,positive,United
@united thank you.,positive,United
@united Please help... I am in Ethiopia adopting a two year old child. Have an existing confirmation #. Need to add child to reservation.,neutral,United
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,positive,Virgin America
@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,positive,Virgin America
@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?,neutral,Virgin America
"@united they're not, actually. gate agent was so rude. now standing in a line waiting for reFlight Booking Problems. missed the only flight to STI. awful.",negative,United
@united Thanks for the vague canned response that doesn't address the issue!,negative,United
@united wi-fi on 737-800 (aircraft 3511) didn't work entire ORD-DCA flight this morning,negative,United
"@united Thank you, ^JH, appreciate the prompt responses--me and other passengers will be doing so.",neutral,United
"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!",positive,Virgin America
@VirginAmerica your inflight team makes the experience #amazing!,positive,Virgin America
@united traveling with @MegZezzo who is injured. Gate agent in Chicago was awesome helping her. TY #roadwarrior,positive,United
@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,negative,Virgin America
@VirginAmerica sounds like fun !,positive,Virgin America
@united look at this beauty 😉 dc 10 united airlines 😉 http://t.co/MvYoizRPdE,positive,United
@united I filed a delayed bag report on Saturday! my flight was Cancelled Flightled and I never went anywhere!,negative,United
@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,positive,Virgin America
@united we've been waiting 45 min for a gate at SFO... Yet so many of them are free.  Your excellence in operational efficiency is showing,negative,United
@united Left item n the seatback on UA1260. Is there any way to call DCA to ask if they have the item? Already submitted lost &amp; found report,neutral,United
UA3388 @united was Cancelled Flightled not delayed.  Re-Flight Booking Problems still 90 miles from home.  At least acknowledge the Cancelled Flightlation.,negative,United
@united thanks we'll be in touch!,positive,United
@united Will definitely do so. Sending a DM now.,neutral,United
@united has the best customer experience via twitter - huge fan!!!,positive,United
@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!,positive,Virgin America
"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd",neutral,Virgin America
@united can you tell me how to file a claim for clothing that had to be purchased?,negative,United
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral,Virgin America
"@VirginAmerica announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf",neutral,Virgin America
@united thank you. Literally called for preboarding as I ran up.,positive,United
@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,negative,Virgin America
@lindaSWC @united:  We don't like to hear you had a poor experience. Please share details w/our Customer Care team http://t.co/HIsc4NdMgZ.,negative,United
@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail,positive,United
"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board",negative,Virgin America
@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?,negative,United
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,positive,Virgin America
@VirginAmerica Lister to my show my on Monday 1230 130,neutral,Virgin America
@united are the ones who make it difficult for me.,negative,United
@virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!,neutral,Virgin America
@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,positive,Virgin America
@united ok thx!,positive,United
👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,neutral,Virgin America
@united no chance I wait in ORD all afternoon for another flight after you screwed me. Hold 5396,negative,United
@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,positive,Virgin America
@VirginAmerica I need a receipt for a flight change. Can you send one?,neutral,Virgin America
@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..,negative,United
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),positive,Virgin America
@united great to hear Thankyou so much. Greatly appreciate your replies. Feel much more settled now.,positive,United
@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You,negative,United
@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,positive,Virgin America
"@united hi JP, with the help of an awesome TSA representative, I was able to get it all taken care of. Thank you!",positive,United
@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!,positive,United
@united It was last night's 1235/ORD-LGA.,neutral,United
@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp; I am stuck outside sec,negative,United
@united is doing musicians real dirty at LAX. I've never been blocked from getting on a flight with my bass.,negative,United
@united but it's hard to stay upset at someone when they at least TRY to show remorse.,negative,United
@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,positive,Virgin America
Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”,positive,United
@VirginAmerica Your planes are really pretty. Just thought u should know that. :),positive,Virgin America
@VirginAmerica this is too cool!  Never been on ur planes but now I will!!,positive,Virgin America
@united the child is two years old,neutral,United
@united … But friendly efficient air attendants in coach #UA992 http://t.co/49pV3KcHNR,negative,United
"@VirginAmerica so loyal that I'm driving to #NYC from #PA, to fly Virgin,  since you cut #Philly flights ;)",positive,Virgin America
@united thank you !,neutral,United
@united Greetings. UA Club member here. Any idea if I can use the Air Canada Lounge at YVR. Flying UA tomorrow.,neutral,United
@united thanks. Just a program comment; the system assigned seats behind each other even though pairs were available. I changed it back.,positive,United
@united thanks,positive,United
@united Has it departed? I was awaiting an inbound plane yesterday for three hours and it never arrived. Had to stay overnight (again).,negative,United
Thanks @united. @imran_r44 had a question about the wait time for baggage on UA6366,neutral,United
@united Would be helpful if you could refresh boarding time info on boarding passes for delayed flights,negative,United
Just sent thank u RT @united: @goodenufmother Please DM your confirmation number if reFlight Booking Problems is needed. Thank you. ^EY,neutral,United
@united  Delay DEN-CLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??,negative,United
@VirginAmerica check out new music http://t.co/maRcnOCWzn,neutral,Virgin America
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",neutral,Virgin America
"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United.",negative,United
@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.,negative,United
"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",positive,Virgin America
@VirginAmerica hold times at call center are a bit much,negative,Virgin America
"@united, last week shanghai to sfo 858 delay 5hrs bc of engine. today sfo-sea delay to ""sick pilot"". no compensation. They Do. Not. Care.",negative,United
"@united sorry for the delayed response. It was UA #381 Chicago to San Fran. Held up for almost an hour on the Tarmac. Also, lost my bags",negative,United
@VirginAmerica OMG FINALLY,positive,Virgin America
@united Agent in LAS letting 20 customers know they can't help them rebook delayed flight to DEN #unfriendlyskies http://t.co/QuzVmK2rTR,negative,United
"@SouthwestAir doesn't charge ticket change fees. Do they not incur the same mysterious ""costs"" that you incur, @united?",negative,United
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,neutral,Virgin America
@united I appreciate your efforts getting me home!,positive,United
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,neutral,Virgin America
@VirginAmerica I see what you did there ;),positive,Virgin America
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,positive,Virgin America
"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines",negative,United
"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome",negative,Virgin America
@United to start daily #B777-200ER flights from #Newark to #Milan #Malpensa replacing #B767-400ER on 7APR instead 28MAR #avgeek,neutral,United
@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏,neutral,United
"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",positive,Virgin America
@united someone should send a note to the revenue management team and ask about all the open BF and GF seats on 919.,neutral,United
@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21,neutral,Virgin America
"@united A very disappointing experience - plane mech. delay and next one didn't wait. No sincere apology, just told me to complain online",negative,United
@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.,negative,United
@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,positive,Virgin America
@united Great! I'm ready to go home.,positive,United
@united so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL,negative,United
@united what time does check in open for flight no UA80 from Manchester to Newark today ?,neutral,United
@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,positive,Virgin America
@united UA1469. Just landed.,neutral,United
@VirginAmerica Dad on Segway is the best part of this whole infographic!,positive,Virgin America
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,neutral,Virgin America
"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519",neutral,United
@united that's right- with an overnight Miami.,neutral,United
"@united Heads up We didn't check 8 bags, 2 we checked arrived, those aren't claim #s for our 2. Other people's bags? http://t.co/dplQ3mhQGD",negative,United
@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?,negative,United
@united thx for update,positive,United
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,neutral,Virgin America
@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin,positive,Virgin America
@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,negative,Virgin America
@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek,neutral,Virgin America
@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis,negative,United
@united @CheerTymeDad Gee that's like almost caring about ppl more than $$.  Think I'm more int in having a trusted adult w/ daughter .,neutral,United
@VirginAmerica wow this just blew my mind,positive,Virgin America
@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,neutral,Virgin America
